,User,Created_at,Tweet,Compound,Positive,Neutral,Negative
68,@BBC,2018-03-25 13:03:04,"👽✨🛸 @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz",0.5574,0.184,0.816,0.0
69,@BBC,2018-03-25 12:03:02,"Weighing just 100g, a newborn panda is one 900th the size of its mum! 🐼💕 #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs",0.0,0.0,1.0,0.0
70,@BBC,2018-03-25 10:30:04,🐟Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf,0.0,0.0,1.0,0.0
71,@BBC,2018-03-25 09:30:15,"Ever wondered what made you feel moody? It might be your gut.

👉 https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn",-0.3612,0.0,0.839,0.161
72,@BBC,2018-03-25 08:43:31,"RT @BBCScotland: Up your brunch game with perfect poached eggs.

via @bbcthesocial https://t.co/1imXNeOZ9d",0.5719,0.236,0.764,0.0
73,@BBC,2018-03-25 08:43:26,"RT @bbcweather: #Winter may not be done with us yet, as colder continental air fights back against milder maritime air across the UK this w…",-0.4019,0.0,0.899,0.101
74,@BBC,2018-03-25 08:43:22,RT @BBCSport: A simply astonishing confession from Australia captain Steve Smith and batsman Cameron Bancroft 😳 https://t.co/YaE7fBZamq,0.0,0.0,1.0,0.0
75,@BBC,2018-03-25 08:00:12,A woman who drinks 30 cans a day says her addiction to energy drinks is worse than gambling.… https://t.co/d11ATW0F0f,-0.25,0.104,0.743,0.153
76,@BBC,2018-03-25 07:34:02,You learn something new every day. Here's how to poo a baby jaguar. 🤷💩#BigCatsAboutTheHouse https://t.co/Eg5rF1414b,0.0,0.0,1.0,0.0
77,@BBC,2018-03-25 07:02:00,When the clocks have gone forward but there's no way you're getting out of bed yet. 🙅‍♂️⏰#DaylightSavings https://t.co/cHBPV3ITsQ,-0.4215,0.0,0.859,0.141
78,@BBC,2018-03-24 20:34:01,"""I still see people screaming for help.""

This Sunday at 9pm on @BBCTwo, @REGYATES meets the people whose lives wer… https://t.co/RS16yXF17H",-0.3818,0.0,0.885,0.115
79,@BBC,2018-03-24 20:00:11,"The story of the last decade of Picasso's life, through the words of family and friends. 🎨

Picasso's Last Stand |… https://t.co/RyiuI8KgSk",0.4767,0.134,0.866,0.0
